scope,condition,seed,threshold,margin,paths,prefinal_commits,prefinal_errors,prefinal_committed_error_rate,committed_state_coverage,committed_revision_rate_per_path,revision_opportunities,revision_rate_per_opportunity,premature_exposure_rate,stage_two_path_coverage,time_to_first_commit,final_state_identity,stage1_committed_count,stage1_coverage,stage1_errors,stage1_committed_error_rate,stage2_committed_count,stage2_coverage,stage2_errors,stage2_committed_error_rate
official_test,H0,1234,0.91,0.2,6204,197,9,0.04568527918781726,0.01587685364281109,0.0011283043197936814,197,0.03553299492385787,0.0,0.021115409413281754,2.968246292714378,1.0,66,0.010638297872340425,2,0.030303030303030304,131,0.021115409413281754,7,0.05343511450381679
official_test,H0,1234,0.92,0.2,6204,124,2,0.016129032258064516,0.009993552546744036,0.00048355899419729207,124,0.024193548387096774,0.0,0.013217279174725984,2.980012894906512,1.0,42,0.006769825918762089,0,0.0,82,0.013217279174725984,2,0.024390243902439025
official_test,H0,1234,0.93,0.2,6204,89,2,0.02247191011235955,0.0071727917472598325,0.0,89,0.0,0.0,0.009509993552546744,2.98565441650548,1.0,30,0.004835589941972921,0,0.0,59,0.009509993552546744,2,0.03389830508474576
official_test,H0,1234,0.94,0.2,6204,54,0,0.0,0.004352030947775629,0.0,54,0.0,0.0,0.0061250805931656995,2.991295938104449,1.0,16,0.0025789813023855577,0,0.0,38,0.0061250805931656995,0,0.0
official_test,H0,1234,0.95,0.2,6204,23,0,0.0,0.0018536428110896197,0.0,23,0.0,0.0,0.002740167633784655,2.996292714377821,1.0,6,0.0009671179883945841,0,0.0,17,0.002740167633784655,0,0.0
official_test,H0,1234,0.96,0.2,6204,8,0,0.0,0.0006447453255963894,0.0,8,0.0,0.0,0.0006447453255963894,2.998710509348807,1.0,4,0.0006447453255963894,0,0.0,4,0.0006447453255963894,0,0.0
official_test,H0,1234,0.97,0.2,6204,0,0,,0.0,0.0,0,,0.0,0.0,3.0,1.0,0,0.0,0,,0,0.0,0,
official_test,H0,1234,0.98,0.2,6204,0,0,,0.0,0.0,0,,0.0,0.0,3.0,1.0,0,0.0,0,,0,0.0,0,
official_test,H0,1234,0.99,0.2,6204,0,0,,0.0,0.0,0,,0.0,0.0,3.0,1.0,0,0.0,0,,0,0.0,0,
official_test,H0,1234,1.0,0.2,6204,0,0,,0.0,0.0,0,,0.0,0.0,3.0,1.0,0,0.0,0,,0,0.0,0,
